price,title
"[<Selector xpath=""descendant-or-self::*[@class and contains(concat(' ', normalize-space(@class), ' '), ' price_color ')]/text()"" data='£51.77'>]",[<Selector xpath='descendant-or-self::h3/a/@title' data='A Light in the Attic'>]
"[<Selector xpath=""descendant-or-self::*[@class and contains(concat(' ', normalize-space(@class), ' '), ' price_color ')]/text()"" data='£53.74'>]",[<Selector xpath='descendant-or-self::h3/a/@title' data='Tipping the Velvet'>]
"[<Selector xpath=""descendant-or-self::*[@class and contains(concat(' ', normalize-space(@class), ' '), ' price_color ')]/text()"" data='£50.10'>]",[<Selector xpath='descendant-or-self::h3/a/@title' data='Soumission'>]
"[<Selector xpath=""descendant-or-self::*[@class and contains(concat(' ', normalize-space(@class), ' '), ' price_color ')]/text()"" data='£47.82'>]",[<Selector xpath='descendant-or-self::h3/a/@title' data='Sharp Objects'>]
"[<Selector xpath=""descendant-or-self::*[@class and contains(concat(' ', normalize-space(@class), ' '), ' price_color ')]/text()"" data='£54.23'>]",[<Selector xpath='descendant-or-self::h3/a/@title' data='Sapiens: A Brief History of Humankind'>]
"[<Selector xpath=""descendant-or-self::*[@class and contains(concat(' ', normalize-space(@class), ' '), ' price_color ')]/text()"" data='£22.65'>]",[<Selector xpath='descendant-or-self::h3/a/@title' data='The Requiem Red'>]
"[<Selector xpath=""descendant-or-self::*[@class and contains(concat(' ', normalize-space(@class), ' '), ' price_color ')]/text()"" data='£33.34'>]",[<Selector xpath='descendant-or-self::h3/a/@title' data='The Dirty Little Secrets of Getting Your'>]
"[<Selector xpath=""descendant-or-self::*[@class and contains(concat(' ', normalize-space(@class), ' '), ' price_color ')]/text()"" data='£17.93'>]",[<Selector xpath='descendant-or-self::h3/a/@title' data='The Coming Woman: A Novel Based on the L'>]
"[<Selector xpath=""descendant-or-self::*[@class and contains(concat(' ', normalize-space(@class), ' '), ' price_color ')]/text()"" data='£22.60'>]",[<Selector xpath='descendant-or-self::h3/a/@title' data='The Boys in the Boat: Nine Americans and'>]
"[<Selector xpath=""descendant-or-self::*[@class and contains(concat(' ', normalize-space(@class), ' '), ' price_color ')]/text()"" data='£52.15'>]",[<Selector xpath='descendant-or-self::h3/a/@title' data='The Black Maria'>]
"[<Selector xpath=""descendant-or-self::*[@class and contains(concat(' ', normalize-space(@class), ' '), ' price_color ')]/text()"" data='£13.99'>]",[<Selector xpath='descendant-or-self::h3/a/@title' data='Starving Hearts (Triangular Trade Trilog'>]
"[<Selector xpath=""descendant-or-self::*[@class and contains(concat(' ', normalize-space(@class), ' '), ' price_color ')]/text()"" data='£20.66'>]","[<Selector xpath='descendant-or-self::h3/a/@title' data=""Shakespeare's Sonnets"">]"
"[<Selector xpath=""descendant-or-self::*[@class and contains(concat(' ', normalize-space(@class), ' '), ' price_color ')]/text()"" data='£17.46'>]",[<Selector xpath='descendant-or-self::h3/a/@title' data='Set Me Free'>]
"[<Selector xpath=""descendant-or-self::*[@class and contains(concat(' ', normalize-space(@class), ' '), ' price_color ')]/text()"" data='£52.29'>]","[<Selector xpath='descendant-or-self::h3/a/@title' data=""Scott Pilgrim's Precious Little Life (Sc"">]"
"[<Selector xpath=""descendant-or-self::*[@class and contains(concat(' ', normalize-space(@class), ' '), ' price_color ')]/text()"" data='£35.02'>]",[<Selector xpath='descendant-or-self::h3/a/@title' data='Rip it Up and Start Again'>]
"[<Selector xpath=""descendant-or-self::*[@class and contains(concat(' ', normalize-space(@class), ' '), ' price_color ')]/text()"" data='£57.25'>]",[<Selector xpath='descendant-or-self::h3/a/@title' data='Our Band Could Be Your Life: Scenes from'>]
"[<Selector xpath=""descendant-or-self::*[@class and contains(concat(' ', normalize-space(@class), ' '), ' price_color ')]/text()"" data='£23.88'>]",[<Selector xpath='descendant-or-self::h3/a/@title' data='Olio'>]
"[<Selector xpath=""descendant-or-self::*[@class and contains(concat(' ', normalize-space(@class), ' '), ' price_color ')]/text()"" data='£37.59'>]",[<Selector xpath='descendant-or-self::h3/a/@title' data='Mesaerion: The Best Science Fiction Stor'>]
"[<Selector xpath=""descendant-or-self::*[@class and contains(concat(' ', normalize-space(@class), ' '), ' price_color ')]/text()"" data='£51.33'>]",[<Selector xpath='descendant-or-self::h3/a/@title' data='Libertarianism for Beginners'>]
"[<Selector xpath=""descendant-or-self::*[@class and contains(concat(' ', normalize-space(@class), ' '), ' price_color ')]/text()"" data='£45.17'>]","[<Selector xpath='descendant-or-self::h3/a/@title' data=""It's Only the Himalayas"">]"
